SequenceId,HeaderSequenceId,FontSize,FontAttribute,TextWrap,FontAlign,SpaceBefore,AdditionalData,ContentType,Content
32,4,18,,Normal,Right,,,P_Bullet,"വി.യൗസേപ്പിതാവേ, എന്‍റെ ആത്‌മാവിനെ രക്ഷിക്കേണമേ.  ദൈവത്തിന്‍റെ പരിശുദ്ധ കരുണയിൽ നിന്ന്, ഞാനപേക്ഷിക്കുന്ന യാചനകളെ നേടിതരണമേ. ശുദ്ധീകരണ സ്ഥലത്തിലെ ആത്മാക്കൾക്കു അവരുടെ വലിയ വേദനകളിൽ നിന്ന് ആശ്വാസം കൊടുക്കേണമേ."
33,4,18,Bold,Normal,Left,,,P,ആമ്മേൻ
34,4,16,Bold,Normal,Left,,,P,(3 ത്രിത്വസ്തുതി)
35,4,18,,Normal,Right,,2,P_Bullet,"എത്രയും ശക്തിയുള്ള വി.യൗസേപ്പിതാവേ, സാർവത്രികസഭയുടെ പാലകനായി അങ്ങയെ പ്രഖ്യാപിച്ചുവല്ലോ. അതു കൊണ്ട് വേദനിക്കുന്നവരുടെ വലിയ സംരക്ഷകനായ അങ്ങയോടു മറ്റു വിശുദ്ധന്മാരോടെന്നതിനേക്കാൾ  കൂടുതൽ ഞാൻ പ്രാർത്ഥിക്കുന്നു. ഏത് ആവശ്യത്തിനും എപ്പോഴും സഹായിക്കാൻ സന്നദ്ധതയുള്ള അങ്ങയുടെ ഔദാര്യം നിറഞ്ഞ ഹൃദയത്തിനു എന്നെ സമർപ്പിയ്ക്കുകയും ചെയുന്നു. "
36,4,18,,Normal,Right,,,P_Bullet,വിധവകളും  അനാഥരും ഉപേക്ഷിക്കപെട്ടവരും വേദനിക്കുന്നവരും പീഡിപ്പിക്കപ്പെടുന്നവരും അങ്ങയുടെ അരികിൽ വരുന്നു. അങ്ങേയ്ക്കു ആശ്വാസം കൊടുക്കാൻ കഴിയാത്ത ഒരു സങ്കടവും ഈ ലോകത്തിലില്ലല്ലോ. എന്‍റെ ഈ ......... സങ്കടങ്ങൾക്കു പരിഹാരം കിട്ടും വിധം അങ്ങേയ്ക്കു ദൈവം തന്ന കൃപകളെ എനിക്കു വേണ്ടി ഉപയോഗിക്കാൻ അങ്ങ് മനസ്സാകണമേ. 
37,4,18,,Normal,Right,,,P_Bullet,"ശുദ്ധീകരണസ്ഥലത്തിലെ വിശുദ്ധ ആത്മാക്കളെ, എനിക്കു വേണ്ടി വി.യൗസേപ്പിതാവിനോട് പ്രാർത്ഥിക്കേണമേ."
38,4,18,,Normal,Right,,3,P_Bullet,"അങ്ങയോടു പ്രാർത്ഥിച്ചു ആശ്വാസവും സമാധാനവും ദൈവകൃപയും അനുഗ്രഹങ്ങളും സ്വീകരിച്ചിട്ടുള്ളവർ നിരവധിയാണല്ലോ. എന്നെ ചുറ്റിവളഞ്ഞിരിക്കുന്ന ഈ പരീക്ഷകളുടെ നടുവിൽ അത്രമേൽ ദുഃഖഭരിതവും സങ്കടപൂരിതവുമായ എന്‍റെ ഹൃദയത്തിന് ഒരാശ്വാസവും കണ്ടെത്താനാവുന്നില്ല. മഹത്വപൂർണ്ണനായ വി.യൗസേപ്പിതാവേ, എന്‍റെ എല്ലാ ആവശ്യങ്ങളും ഞാൻ അപേക്ഷിക്കുന്നതിനു മുൻപേ അങ്ങറിയുന്നു. എന്‍റെ പ്രശ്നങ്ങളുടെ വലിയ ഭാരത്തിനു കീഴിൽ സങ്കടപ്പെടുന്ന ഞാൻ അങ്ങയുടെ മുൻപിൽ താണു  വണങ്ങുന്നു. ആശ്വാസത്തിനായി എനിക്കു സമീപിക്കാൻ  ഒരു മനുഷ്യഹൃദയവും ഇവിടെയില്ല. അഥവാ, എന്നെ സഹായിക്കാൻ സന്മനസ്സും അനുകമ്പയുമുള്ള ഒരാളെ ഞാൻ കണ്ടെത്തിയാലും അയാൾക്ക്‌ എന്നെ സഹായിക്കാൻ കഴിവില്ല. അങ്ങേയ്ക്കു മാത്രമേ എന്‍റെ വേദനയിൽ എന്നെ സഹായിക്കാനാവൂ. അതു കൊണ്ട് പിതാവേ, എന്‍റെ ഈ സങ്കടങ്ങളെ കേൾക്കണമെന്ന് ഞാൻ അപേക്ഷിക്കുന്നു. നിങ്ങൾ എന്ത് ചോദിച്ചാലും വി.യൗസേപ്പ് അതു തരും എന്ന് വി. അമ്മത്രേസ്യ എഴുതിയിട്ടുള്ളത് ഈ ലോകം എപ്പോഴും ഓർക്കുന്നുണ്ടല്ലോ."
39,4,18,,Normal,Right,,,P_Bullet,"വി.യൗസേപ്പിതാവേ, വേദനിക്കുന്നവരുടെ ആശ്വാസമേ, എന്‍റെ  സങ്കടങ്ങളുടെമേൽ കരുണയായിരിക്കണമേ! ഞങ്ങളുടെ പ്രാർത്ഥനകളിൽ പ്രതീക്ഷ വച്ചിരിക്കുന്ന ശുദ്ധീകരണസ്ഥലത്തിലെ പാവപ്പെട്ട ആത്‌മാക്കളുടെമേലും കരുണയായിരിക്കേണമേ! ആമ്മേൻ. "
40,4,16,Bold,Normal,Left,,,P,(3 ത്രിത്വസ്തുതി)
41,4,18,,Normal,Right,,4,P_Bullet,"എത്രയും ശ്രേഷ്ടനായ പിതാവേ, ദൈവത്തോടുള്ള അങ്ങയുടെ പരിപൂർണ്ണമായ അനുസരണത്തെപ്രതി എന്‍റെ മേൽ അലിവായിരിക്കേണമേ!"
42,4,18,,Normal,Right,,,P_Bullet,സുകൃതങ്ങളും ദൈവകൃപയും നിറഞ്ഞ അങ്ങയുടെ വിശുദ്ധ ജീവിതത്തെപ്രതി എന്‍റെ   പ്രാർത്ഥന കേൾക്കണമേ.
43,4,18,,Normal,Right,,,P_Bullet,അങ്ങയുടെ എത്രയും മധുരമായ നാമത്തെ പ്രതി എന്നെ സഹായിക്കേണമേ!
44,4,18,,Normal,Right,,,P_Bullet,അങ്ങയുടെ ഏറ്റവും ഉദാരമായ ഹൃദയത്തെപ്രതി എന്നെ തുണയ്ക്കണമേ!
45,4,18,,Normal,Right,,,P_Bullet,അങ്ങയുടെ പരിശുദ്ധമായ കണ്ണുനീരിനെയോർത്തു എന്നെ ആശ്വസിപ്പിക്കേണമേ! അങ്ങയുടെ ഏഴു സന്തോഷങ്ങളെപ്രതി എന്നെ സാന്ത്വനപ്പെടുത്തേണമേ!
46,4,18,,Normal,Right,,,P_Bullet,ശാരീരികവും ആത്‌മീയവുമായ എല്ലാ ഉപദ്രവങ്ങളിൽ നിന്നും എന്നെ മോചിപ്പിക്കണമേ!
47,4,18,,Normal,Right,,,P_Bullet,എല്ലാ അത്യാഹിതങ്ങളിൽനിന്നും അപകടങ്ങളലിൽ നിന്നും എന്നെ രക്ഷിക്കണമേ!
48,4,18,,Normal,Right,,,P_Bullet,അങ്ങയുടെ ശക്തിയുള്ള മദ്ധ്യസ്ഥത്താൽ എന്നെ സഹായിക്കേണമേ! അങ്ങയുടെ ശക്തിയാലും കരുണയാലും എന്‍റെ   നിത്യരക്ഷയ്ക്കു ആവശ്യമുള്ളതൊക്കെയും പ്രേത്യേകിച്ചും എനിക്കിപ്പോൾ ആവശ്യമായിരിക്കുന്ന അനുഗ്രഹങ്ങളും (ആവശ്യങ്ങൾ പറയുക) നേടിത്തരേണമേ!
49,4,18,Bold,Normal,Left,,,P,ആമ്മേൻ
50,4,16,Bold,Normal,Left,,,P,(3 ത്രിത്വസ്തുതി)
51,4,18,,Normal,Right,,5,P_Bullet,"എത്രയും മഹത്വപൂർണ്ണനായ വി.യൗസേപ്പിതാവേ, ക്ലേശിക്കുന്ന ആത്‌മാക്കൾക്കു അങ്ങ് സമ്പാദിച്ചു നൽകിയ കൃപയും അനുഗ്രഹങ്ങളും അളവറ്റതാണല്ലോ. എല്ലാ വിധത്തിലുമുള്ള രോഗികൾ, മർദ്ദിക്കപ്പെട്ടവർ, പീഡിപ്പിക്കപ്പെട്ടവർ, വഞ്ചിക്കപെട്ടവർ, നിസ്സഹായരാക്കപ്പെട്ടവർ എന്ന് മാത്രമല്ല അനുദിനാഹാരം ഇല്ലാത്തവർ കൂടി അങ്ങയുടെ മാദ്ധ്യസ്ഥം കേണപേക്ഷിക്കുകയും തങ്ങളുടെ സങ്കടങ്ങളിൽ ആശ്വാസം നേടുകയും ചെയ്യുന്നു."
52,4,18,,Normal,Right,,,P_Bullet,"പ്രിയപ്പെട്ട പിതാവേ, ഞാനിപ്പോൾ അങ്ങയോടു യാചിക്കുന്ന ഈ അനുഗ്രഹങ്ങളെ അങ്ങ് നിരസിക്കരുതേ! അങ്ങയോടപേക്ഷിച്ചവരിൽ നിരസിക്കപ്പെട്ട ഏകവ്യക്തി ഞാനായിത്തീരാൻ അനുവദിക്കരുതേ! എളിയവനായ എന്നോട് പോലും അങ്ങേയ്ക്കു ദയവുണ്ടെന്നു അങ്ങ് കാണിച്ചു കൊടുത്താലും! അങ്ങനെ ഞാനും നന്ദി നിറഞ്ഞ മനസ്സോടെ ഇങ്ങനെ ഉദ്ഘോഷിക്കാൻ ഇടവരട്ടെ. ""നമ്മുടെ പരിപാലകനും പിതാവുമായ വി.യൗസേപ്പിനു നിത്യകാലം മഹത്വമുണ്ടായിരിക്കട്ടെ. അവിടുന്ന് എന്‍റെ സംരക്ഷകനും ശുദ്ധീകരണസ്ഥലത്തെ ആത്മാക്കൾക്കു വേണ്ടി ന്യായം പറയുന്നവനുമാണ്."""
53,4,18,,Normal,Right,,6,P_Bullet,"സ്വർഗ്ഗസ്ഥനായ ഞങ്ങളുടെ പിതാവേ, ഈശോയുടെയും മറിയത്തിന്‍റെയും നാമത്തിൽ അങ്ങയുടെ പരിശുദ്ധമായ സാന്നിദ്ധ്യത്തിനു മുന്നിൽ ഞാൻ പ്രണമിക്കുന്നു. പ്രാർത്ഥനയിൽ സ്ഥിരോത്സാഹിയാകാനും, വി.യൗസേപ്പിതാവിന്‍റെ  പരിപാലനയുടെ കീഴിൽ വളരുന്ന ആത്മാക്കളുടെ കൂട്ടത്തിൽ എണ്ണപ്പെടുവാനുമുള്ള എന്‍റെ അപേക്ഷയെ അങ്ങ് ദയാപൂർവ്വം സ്വീകരിക്കേണമേ ! വി.യൗസേപ്പിതാവിനോട് എനിക്കുള്ള ഭക്തിയുടെ ഉറപ്പിനായി ഞാൻ ഇപ്പോൾ അർപ്പിക്കുന്ന ഈ പ്രാർത്ഥനാമഞ്ജരിയെ അങ്ങ് ആശീർവദിക്കേണമേ!"
54,4,18,Bold,Normal,Left,,,P,ആമ്മേൻ
55,4,16,Bold,Normal,Left,,,P,(3 ത്രിത്വസ്തുതി)
56,4,,,,,,F,Sound,Page4 - Content1.mp3
57,4,,,,,,F,Sound,Page4 - Content2.mp3
58,4,,,,,,F,Sound,Page4 - Content3.mp3
59,4,,,,,,F,Sound,Page4 - Content4.mp3
60,4,,,,,,F,Sound,Page4 - Content5.mp3
61,4,,,,,,F,Sound,Page4 - Content6.mp3
62,5,20,,,,,,H,ആത്‌മീയ   നന്മകൾക്ക് വേണ്ടിയുള്ള പ്രാർത്ഥനകൾ
63,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ! ഈശോ എന്‍റെ ആത്‌മാവിൽ എഴുന്നുള്ളി അതിനെ വിശുദ്ധീകരിക്കുവാൻ അനുഗ്രഹിക്കേണമേ.
64,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ! ഈശോ എന്‍റെ ഹൃദയത്തിൽ എഴുന്നുള്ളിവന്നു അതിനെ സ്നേഹം കൊണ്ട് പ്രചോദിപ്പിക്കുവാൻ അനുഗ്രഹിക്കേണമേ.
65,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ! ഈശോ എന്‍റെ  മനസ്സിൽ എഴുന്നുള്ളിവന്നു അതിനെ പ്രകാശിപ്പിക്കുവാൻ അനുഗ്രഹിക്കേണമേ.
66,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ! ഈശോ എന്‍റെ ഇച്ഛാശക്തിയെ നയിക്കുകയും ശക്തിപ്പെടുത്തുകയും ചെയ്യുവാൻ അനുഗ്രഹിക്കേണമേ.
67,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ! ഈശോ എന്‍റെ ചിന്തകളെ നിയന്ത്രിക്കുകയും ശുദ്ധീകരിക്കുകയും ചെയ്യുവാൻ അനുഗ്രഹിക്കേണമേ.
68,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ! ഈശോ എന്‍റെ ആഗ്രഹങ്ങളെ നയിക്കുകയും നിയന്ത്രിക്കുകയും ചെയ്യുവാൻ അനുഗ്രഹിക്കേണമേ.
69,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ! ഈശോ എന്‍റെ പ്രവർത്തികളെ തൃക്കൺപാർക്കുകയും ആശീർവദിക്കുകയും ചെയുവാൻ  അനുഗ്രഹിക്കേണമേ.
70,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ! ഈശോ എന്നെ അവിടുത്തോടുള്ള സ്നേഹം കൊണ്ടു ജ്വലിപ്പിക്കുവാൻ അനുഗ്രഹിക്കേണമേ.
71,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ! അങ്ങയുടെ പുണ്യങ്ങൾ ഈശോയിൽ നിന്നും എനിക്കു നേടിത്തരേണമേ.
72,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ! പരിപൂർണ്ണതയ്ക്കു വേണ്ടിയുള്ള ആഗ്രഹം ഈശോയിൽ നിന്നും എനിക്കു നേടിത്തരേണമേ.
73,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ! സ്വഭാവമഹിമ ഈശോയിൽ നിന്നും എനിക്കു നേടിത്തരേണമേ.
74,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ! പരിശുദ്ധവും സ്നേഹനിർഭരവുമായ ഹൃദയം ഈശോയിൽ നിന്നും എനിക്കു നേടിത്തരേണമേ.
75,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ!  സഹനങ്ങളെ  സ്വീകരിക്കുവാനുള്ള ദിവ്യമായ പ്രചോദനം ഈശോയിൽ നിന്നും എനിക്കു നേടിത്തരേണമേ.
76,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ!  വിശ്വാസത്തിന്‍റെ ജ്ഞാനം ഈശോയിൽ നിന്നും എനിക്കു നേടിത്തരേണമേ.
77,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ! നന്മപ്രവർത്തികളിൽ സ്ഥിരതയ്ക്കുള്ള ആശീർവാദം ഈശോയിൽ നിന്നും എനിക്കു നേടിത്തരേണമേ
78,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ! കുരിശുകൾ സന്തോഷപൂർവം സഹിക്കുവാനുള്ള ശക്തി  ഈശോയിൽ നിന്നും എനിക്കു നേടിത്തരേണമേ
